# source set	primary types -- `catalogue.py baseline <name> --record`
buildtools/main	21
buildtools/test	11
managed-ledger/main	121
managed-ledger/test	57
pulsar-broker-auth-athenz/main	1
pulsar-broker-auth-athenz/test	1
pulsar-broker-auth-oidc/main	8
pulsar-broker-auth-oidc/test	4
pulsar-broker-auth-sasl/main	6
pulsar-broker-auth-sasl/test	4
pulsar-broker-common/main	89
pulsar-broker-common/test	32
pulsar-broker/main	618
pulsar-broker/test	862
pulsar-cli-utils/main	7
pulsar-cli-utils/test	3
pulsar-client-admin-api/main	176
pulsar-client-admin-api/test	4
pulsar-client-admin/main	32
pulsar-client-admin/test	8
pulsar-client-api-v5/main	58
pulsar-client-api-v5/test	3
pulsar-client-api/main	123
pulsar-client-auth-athenz/main	2
pulsar-client-auth-athenz/test	1
pulsar-client-auth-sasl/main	3
pulsar-client-messagecrypto-bc/main	1
pulsar-client-tools-api/main	6
pulsar-client-tools-test/test	7
pulsar-client-tools/main	59
pulsar-client-tools/test	17
pulsar-client-v5/main	38
pulsar-client-v5/test	10
pulsar-client/main	253
pulsar-client/test	149
pulsar-common/main	357
pulsar-common/test	113
pulsar-config-validation/main	5
pulsar-config-validation/test	2
pulsar-docs-tools/main	2
pulsar-docs-tools/test	1
pulsar-functions/api-java/main	15
pulsar-functions/instance/main	75
pulsar-functions/instance/test	19
pulsar-functions/java-examples/main	52
pulsar-functions/localrun/main	1
pulsar-functions/proto/main	29
pulsar-functions/proto/test	1
pulsar-functions/runtime-all/main	1
pulsar-functions/runtime-all/test	1
pulsar-functions/runtime/main	27
pulsar-functions/runtime/test	13
pulsar-functions/secrets/main	7
pulsar-functions/secrets/test	3
pulsar-functions/utils/main	29
pulsar-functions/utils/test	13
pulsar-functions/worker/main	58
pulsar-functions/worker/test	27
pulsar-io/batch-data-generator/main	4
pulsar-io/batch-data-generator/test	1
pulsar-io/batch-discovery-triggerers/main	2
pulsar-io/common/main	1
pulsar-io/common/test	1
pulsar-io/core/main	13
pulsar-io/core/test	4
pulsar-io/data-generator/main	4
pulsar-metadata/main	87
pulsar-metadata/test	61
pulsar-opentelemetry/main	4
pulsar-opentelemetry/test	1
pulsar-package-management/bookkeeper-storage/main	5
pulsar-package-management/bookkeeper-storage/test	6
pulsar-package-management/core/main	8
pulsar-package-management/core/test	6
pulsar-package-management/filesystem-storage/main	2
pulsar-package-management/filesystem-storage/test	1
pulsar-proxy/main	27
pulsar-proxy/test	55
pulsar-testclient/main	21
pulsar-testclient/test	10
pulsar-transaction/common/main	1
pulsar-transaction/coordinator/main	31
pulsar-transaction/coordinator/test	7
pulsar-websocket/main	30
pulsar-websocket/test	11
testmocks/main	10
tiered-storage/file-system/main	3
tiered-storage/file-system/test	3
tiered-storage/jcloud/main	26
tiered-storage/jcloud/test	20
