# source set	primary types -- `catalogue.py baseline <name> --record`
api/main	10
api/test-classes	3
benchmark-aggregator/main	7
benchmark-aggregator/test-classes	2
benchmark/main	95
benchmark/test-classes	39
config/main	1
core/main	1525
core/test-classes	903
definition/main	123
definition/test-classes	2
devui-integration-test/main	3
devui-integration-test/test-classes	2
haversine/main	3
haversine/test-classes	3
integration-tests/main	8
integration-tests/test-classes	1
jackson/main	42
jackson/main2	2
jackson/test-classes	18
jackson/test-classes2	1
jaxb/main	11
jaxb/test-classes	15
jpa/main	8
jpa/test-classes	9
json/main	15
json/test-classes	3
maven-plugin/main	7
maven-plugin/test-classes	5
migration/main	29
migration/test-classes	22
quarkus-benchmark/main	4
quarkus-benchmark/main2	3
quarkus-benchmark/main3	5
quarkus-benchmark/test-classes	21
quarkus-benchmark/test-classes2	4
quarkus-jackson/main	42
quarkus-jackson/main2	1
quarkus-jackson/main3	4
quarkus-jackson/test-classes	2
quarkus/main	17
quarkus/main2	10
quarkus/main3	5
quarkus/main4	14
quarkus/main5	29
quarkus/test-classes	131
quarkus/test-classes2	2
quarkus/test-classes3	67
reflection-integration-test/main	4
reflection-integration-test/test-classes	2
rest/main	13
runtime/test-classes	18
service-client/main	17
service-client/test-classes	14
service-integration/main	23
service-rest/main	1
service-test/main	9
spring-boot-autoconfigure/main	18
spring-boot-autoconfigure/test-classes	77
spring-boot-integration-test/main	6
spring-boot-integration-test/test-classes	1
spring-boot-starter/main	0
test/test	1
worker/main	13
worker/test-classes	1
