# source set	is_test — recorded by `catalogue.py baseline --record`
api/main	0
api/test-classes	1
benchmark-aggregator/main	0
benchmark-aggregator/test-classes	1
benchmark/main	0
benchmark/test-classes	1
config/main	0
core/main	0
core/test-classes	1
definition/main	0
definition/test-classes	1
devui-integration-test/main	0
devui-integration-test/test-classes	1
haversine/main	0
haversine/test-classes	1
integration-tests/main	0
integration-tests/test-classes	1
jackson/main	0
jackson/main2	0
jackson/test-classes	1
jackson/test-classes2	1
jaxb/main	0
jaxb/test-classes	1
jpa/main	0
jpa/test-classes	1
json/main	0
json/test-classes	1
maven-plugin/main	0
maven-plugin/test-classes	1
migration/main	0
migration/test-classes	1
quarkus-benchmark/main	0
quarkus-benchmark/main2	0
quarkus-benchmark/main3	0
quarkus-benchmark/test-classes	1
quarkus-benchmark/test-classes2	1
quarkus-jackson/main	0
quarkus-jackson/main2	0
quarkus-jackson/main3	0
quarkus-jackson/test-classes	1
quarkus/main	0
quarkus/main2	0
quarkus/main3	0
quarkus/main4	0
quarkus/main5	0
quarkus/test-classes	1
quarkus/test-classes2	1
quarkus/test-classes3	1
reflection-integration-test/main	0
reflection-integration-test/test-classes	1
rest/main	0
runtime/test-classes	1
service-client/main	0
service-client/test-classes	1
service-integration/main	0
service-rest/main	0
service-test/main	0
spring-boot-autoconfigure/main	0
spring-boot-autoconfigure/test-classes	1
spring-boot-integration-test/main	0
spring-boot-integration-test/test-classes	1
spring-boot-starter/main	0
test/test	1
worker/main	0
worker/test-classes	1
